Concat1,Concat2,ConcatFIPS,County,State,Year 2000,Year 2010,Number Change,Percent Difference
101,1_1,01001,Autauga County,Alabama,"43,671","54,571","10,900",25
103,1_3,01003,Baldwin County,Alabama,"140,415","182,265","41,850",29.8
105,1_5,01005,Barbour County,Alabama,"29,038","27,457","-1,581",-5.4
107,1_7,01007,Bibb County,Alabama,"20,826","22,915","2,089",10
109,1_9,01009,Blount County,Alabama,"51,024","57,322","6,298",12.3
1011,1_11,01011,Bullock County,Alabama,"11,714","10,914",-800,-6.8
1013,1_13,01013,Butler County,Alabama,"21,399","20,947",-452,-2.1
1015,1_15,01015,Calhoun County,Alabama,"112,249","118,572","6,323",5.6
1017,1_17,01017,Chambers County,Alabama,"36,583","34,215","-2,368",-6.5
1019,1_19,01019,Cherokee County,Alabama,"23,988","25,989","2,001",8.3
1021,1_21,01021,Chilton County,Alabama,"39,593","43,643","4,050",10.2
1023,1_23,01023,Choctaw County,Alabama,"15,922","13,859","-2,063",-13
1025,1_25,01025,Clarke County,Alabama,"27,867","25,833","-2,034",-7.3
1027,1_27,01027,Clay County,Alabama,"14,254","13,932",-322,-2.3
1029,1_29,01029,Cleburne County,Alabama,"14,123","14,972",849,6
1031,1_31,01031,Coffee County,Alabama,"43,615","49,948","6,333",14.5
1033,1_33,01033,Colbert County,Alabama,"54,984","54,428",-556,-1
1035,1_35,01035,Conecuh County,Alabama,"14,089","13,228",-861,-6.1
1037,1_37,01037,Coosa County,Alabama,"12,202","11,539",-663,-5.4
1039,1_39,01039,Covington County,Alabama,"37,631","37,765",134,0.4
1041,1_41,01041,Crenshaw County,Alabama,"13,665","13,906",241,1.8
1043,1_43,01043,Cullman County,Alabama,"77,483","80,406","2,923",3.8
1045,1_45,01045,Dale County,Alabama,"49,129","50,251","1,122",2.3
1047,1_47,01047,Dallas County,Alabama,"46,365","43,820","-2,545",-5.5
1049,1_49,01049,DeKalb County,Alabama,"64,452","71,109","6,657",10.3
1051,1_51,01051,Elmore County,Alabama,"65,874","79,303","13,429",20.4
1053,1_53,01053,Escambia County,Alabama,"38,440","38,319",-121,-0.3
1055,1_55,01055,Etowah County,Alabama,"103,459","104,430",971,0.9
1057,1_57,01057,Fayette County,Alabama,"18,495","17,241","-1,254",-6.8
1059,1_59,01059,Franklin County,Alabama,"31,223","31,704",481,1.5
1061,1_61,01061,Geneva County,Alabama,"25,764","26,790","1,026",4
1063,1_63,01063,Greene County,Alabama,"9,974","9,045",-929,-9.3
1065,1_65,01065,Hale County,Alabama,"17,185","15,760","-1,425",-8.3
1067,1_67,01067,Henry County,Alabama,"16,310","17,302",992,6.1
1069,1_69,01069,Houston County,Alabama,"88,787","101,547","12,760",14.4
1071,1_71,01071,Jackson County,Alabama,"53,926","53,227",-699,-1.3
1073,1_73,01073,Jefferson County,Alabama,"662,047","658,466","-3,581",-0.5
1075,1_75,01075,Lamar County,Alabama,"15,904","14,564","-1,340",-8.4
1077,1_77,01077,Lauderdale County,Alabama,"87,966","92,709","4,743",5.4
1079,1_79,01079,Lawrence County,Alabama,"34,803","34,339",-464,-1.3
1081,1_81,01081,Lee County,Alabama,"115,092","140,247","25,155",21.9
1083,1_83,01083,Limestone County,Alabama,"65,676","82,782","17,106",26
1085,1_85,01085,Lowndes County,Alabama,"13,473","11,299","-2,174",-16.1
1087,1_87,01087,Macon County,Alabama,"24,105","21,452","-2,653",-11
1089,1_89,01089,Madison County,Alabama,"276,700","334,811","58,111",21
1091,1_91,01091,Marengo County,Alabama,"22,539","21,027","-1,512",-6.7
1093,1_93,01093,Marion County,Alabama,"31,214","30,776",-438,-1.4
1095,1_95,01095,Marshall County,Alabama,"82,231","93,019","10,788",13.1
1097,1_97,01097,Mobile County,Alabama,"399,843","412,992","13,149",3.3
1099,1_99,01099,Monroe County,Alabama,"24,324","23,068","-1,256",-5.2
10101,1_101,01101,Montgomery County,Alabama,"223,510","229,363","5,853",2.6
10103,1_103,01103,Morgan County,Alabama,"111,064","119,490","8,426",7.6
10105,1_105,01105,Perry County,Alabama,"11,861","10,591","-1,270",-10.7
10107,1_107,01107,Pickens County,Alabama,"20,949","19,746","-1,203",-5.7
10109,1_109,01109,Pike County,Alabama,"29,605","32,899","3,294",11.1
10111,1_111,01111,Randolph County,Alabama,"22,380","22,913",533,2.4
10113,1_113,01113,Russell County,Alabama,"49,756","52,947","3,191",6.4
10115,1_115,01115,St. Clair County,Alabama,"64,742","83,593","18,851",29.1
10117,1_117,01117,Shelby County,Alabama,"143,293","195,085","51,792",36.1
10119,1_119,01119,Sumter County,Alabama,"14,798","13,763","-1,035",-7
10121,1_121,01121,Talladega County,Alabama,"80,321","82,291","1,970",2.5
10123,1_123,01123,Tallapoosa County,Alabama,"41,475","41,616",141,0.3
10125,1_125,01125,Tuscaloosa County,Alabama,"164,875","194,656","29,781",18.1
10127,1_127,01127,Walker County,Alabama,"70,713","67,023","-3,690",-5.2
10129,1_129,01129,Washington County,Alabama,"18,097","17,581",-516,-2.9
10131,1_131,01131,Wilcox County,Alabama,"13,183","11,670","-1,513",-11.5
10133,1_133,01133,Winston County,Alabama,"24,843","24,484",-359,-1.4
2013,2_13,02013,Aleutians East Borough,Alaska,"2,697","3,141",444,16.5
2016,2_16,02016,Aleutians West Census Area,Alaska,"5,465","5,561",96,1.8
2020,2_20,02020,Anchorage Municipality,Alaska,"260,283","291,826","31,543",12.1
2050,2_50,02050,Bethel Census Area,Alaska,"16,006","17,013","1,007",6.3
2060,2_60,02060,Bristol Bay Borough,Alaska,"1,258",997,-261,-20.7
2068,2_68,02068,Denali Borough,Alaska,"1,893","1,826",-67,-3.5
2070,2_70,02070,Dillingham Census Area,Alaska,"4,922","4,847",-75,-1.5
2090,2_90,02090,Fairbanks North Star Borough,Alaska,"82,840","97,581","14,741",17.8
20100,2_100,02100,Haines Borough,Alaska,"2,392","2,508",116,4.8
20105,2_105,02105,Hoonah-Angoon Census Area,Alaska,(X),"2,150",(X),(X)
20110,2_110,02110,Juneau City and Borough,Alaska,"30,711","31,275",564,1.8
20122,2_122,02122,Kenai Peninsula Borough,Alaska,"49,691","55,400","5,709",11.5
20130,2_130,02130,Ketchikan Gateway Borough,Alaska,"14,070","13,477",-593,-4.2
20150,2_150,02150,Kodiak Island Borough,Alaska,"13,913","13,592",-321,-2.3
20164,2_164,02164,Lake and Peninsula Borough,Alaska,"1,823","1,631",-192,-10.5
20170,2_170,02170,Matanuska-Susitna Borough,Alaska,"59,322","88,995","29,673",50
20180,2_180,02180,Nome Census Area,Alaska,"9,196","9,492",296,3.2
20185,2_185,02185,North Slope Borough,Alaska,"7,385","9,430","2,045",27.7
20188,2_188,02188,Northwest Arctic Borough,Alaska,"7,208","7,523",315,4.4
20195,2_195,02195,Petersburg Census Area,Alaska,(X),"3,815",(X),(X)
20198,2_198,02198,Prince of Wales-Hyder Census Area,Alaska,(X),"5,559",(X),(X)
20220,2_220,02220,Sitka City and Borough,Alaska,"8,835","8,881",46,0.5
20230,2_230,02230,Skagway Municipality,Alaska,(X),968,(X),(X)
20240,2_240,02240,Southeast Fairbanks Census Area,Alaska,"6,174","7,029",855,13.8
20261,2_261,02261,Valdez-Cordova Census Area,Alaska,"10,195","9,636",-559,-5.5
20270,2_270,02270,Wade Hampton Census Area,Alaska,"7,028","7,459",431,6.1
20275,2_275,02275,Wrangell City and Borough,Alaska,(X),"2,369",(X),(X)
20282,2_282,02282,Yakutat City and Borough,Alaska,808,662,-146,-18.1
20290,2_290,02290,Yukon-Koyukuk Census Area,Alaska,"6,551","5,588",-963,-14.7
